사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리주체,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
정병원,병원,,282592.231264872,428536.016959888,2026-04-03 03:03:03,U,1,정상,2775.58,12,28,2026-04-02 15:17:38,,2008-05-06,2775.58,,,,,의사,시도,200864200002000009,6530000,"강원특별자치도 원주시 원문로 141-0,  (단계동)층 (단계동)",,01,영업/정상,105,,,033-733-9988
연세대학교 원주세브란스기독병원,종합병원,,283684.602363569,427758.377832632,2026-04-03 03:03:03,U,1,정상,80044.14,1878,221,2026-04-02 15:17:04,,1977-05-01,80044.14,,,,,,시도,197764200002000001,6530000,"강원특별자치도 원주시 일산로 20-0,  (일산동)층 (일산동)",,01,영업/정상,910,,,033-741-0114
인성병원,병원,,263883.466910628,486768.318767618,2026-04-03 03:03:03,U,1,정상,4947.41,37,64,2026-04-02 15:08:43,,1977-11-11,4947.41,,,,,의사,시도,197764200002000002,6530000,"강원특별자치도 춘천시 금강로 39-0,  (낙원동)층 (낙원동)",,01,영업/정상,178,,,033-253-3030
근로복지공단 태백병원,종합병원,,378094.499102264,402124.576851536,2026-04-03 03:03:03,U,1,정상,19425.5,182,83,2026-04-02 15:25:34,,1977-05-01,19425.5,,,,,,시도,197764200002000003,6530000,"강원특별자치도 태백시 보드미길 8,  (장성동)층 (장성동)",,01,영업/정상,281,,,033-580-3114
강원대학교병원,종합병원,,265438.256393839,486072.554860519,2026-04-03 03:03:03,U,1,정상,75746.3,1039,193,2026-04-02 15:25:30,,1982-07-08,75746.3,,,,,의사,시도,198264200002000001,6530000,"강원특별자치도 춘천시 백령로 156, (효자동)층 (효자동)",,01,영업/정상,693,,,033-258-2000
의료법인 동해동인병원,종합병원,,386215.362120528,449619.01724887,2026-04-03 03:03:03,U,1,정상,11981.9,98,87,2026-04-02 15:16:44,,1983-07-25,11981.9,,,,,,시도,198364200002000003,6530000,"강원특별자치도 동해시 하평로 26,  (평릉동)층 (평릉동)",,01,영업/정상,337,,,033-530-0114
강원특별자치도삼척의료원,종합병원,,,,2026-04-03 03:03:03,U,1,정상,27548.12,172,81,2026-04-02 15:13:46,,1983-07-01,27548.12,,강원특별자치도 삼척시 정상동  367번지 14호 강원특별자치도삼척의료원 14호,,,의사,시도,198364200002000005,6530000,"강원특별자치도 삼척시 오십천로 473-0, 강원특별자치도삼척의료원층 (정상동,강원특별자치도삼척의료원)",,01,영업/정상,237,,,033-572-1141
강원특별자치도속초의료원,종합병원,,339079.48882574,524917.714740154,2026-04-03 03:03:03,U,1,정상,13723.78,103,56,2026-04-02 15:25:22,,1983-07-01,13723.78,,,,,,시도,198364200002000007,6530000,"강원특별자치도 속초시 영랑호반길 3,  (영랑동)층 (영랑동)",,01,영업/정상,194,,,033-630-6000
근로복지공단 동해병원,종합병원,,386254.528257327,449765.816314041,2026-04-03 03:03:03,U,1,정상,17470.16,201,74,2026-04-02 15:17:00,,1983-01-25,17470.16,,,,,,시도,198364200002000008,6530000,"강원특별자치도 동해시 하평로 11,  (평릉동)층 (평릉동)",,01,영업/정상,261,,,033-530-3100
한림대학교춘천성심병원,종합병원,,264995.790705309,487048.050495199,2026-04-03 03:03:03,U,1,정상,28462.8,740,90,2026-04-02 15:17:19,,1984-12-10,28462.8,,,,,,시도,198464200002000001,6530000,"강원특별자치도 춘천시 삭주로 77, 77층 (교동)",,01,영업/정상,439,,,033-240-5000
근로복지공단 정선병원,병원,,346855.588954997,432530.667942067,2026-04-03 03:03:03,U,1,정상,11177.66,72,51,2026-04-02 15:17:49,,1988-11-21,11177.66,,,,,,시도,198864200002000004,6530000,강원특별자치도 정선군 정선읍 봉양1길 145-0,,01,영업/정상,157,,,033-560-7110
홍천아산병원,종합병원,,278852.231568625,465755.841290153,2026-04-03 03:03:03,U,1,정상,6418,78,39,2026-04-02 15:16:34,,1989-11-06,6418,,,,,,시도,198964200002000001,6530000,"강원특별자치도 홍천군 홍천읍 산림공원1길 17, 17층",,01,영업/정상,158,,,033-430-5151
국립춘천병원,정신병원,,267433.233427234,474628.124982161,2026-04-03 03:03:03,U,1,정상,2880,41,30,2026-04-02 15:16:50,,1992-03-04,2880,,,,,,시도,199264200002000002,6530000,"강원특별자치도 춘천시 동산면 영서로 824, 824층",,01,영업/정상,153,,,033-260-3000
강릉아산병원,종합병원,,363580.205089049,481138.750877628,2026-04-03 03:03:03,U,1,정상,99390,1375,250,2026-04-02 15:17:16,,1996-07-30,99390,,,,,,시도,199664200002000001,6530000,"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원층",,01,영업/정상,768,,,033-610-3114
강원대학교치과병원,치과병원,,364627.278082023,475810.449226925,2026-04-03 03:03:03,U,1,정상,8669.72,103,7,2026-04-02 15:13:39,,1997-11-21,8669.72,,,,,치과의사,시도,199764200002000004,6530000,"강원특별자치도 강릉시 죽헌길 7,  (지변동)층 (지변동)",,01,영업/정상,17,,,033-640-3114
의료법인 연호요양병원,요양병원(일반요양병원),,271723.032524382,470277.602750368,2026-04-03 03:03:03,U,1,정상,2375.85,26,32,2026-04-02 15:08:52,,2004-03-23,2375.85,,,,,의사,시도,200464200002000004,6530000,"강원특별자치도 홍천군 북방면 팔봉산로 2420-58, 2420층",,01,영업/정상,155,,,033-262-5002
영월요양병원,요양병원(일반요양병원),,336597.808711362,409924.894034941,2026-04-03 03:03:03,U,1,정상,1661.9,6,28,2026-04-02 15:16:18,,2006-09-29,1661.9,,,,,,시도,200664200002000009,6530000,"강원특별자치도 영월군 영월읍 남중골길 5, 5층",,01,영업/정상,86,,,033-372-0691
케이한방병원,한방병원,,210969.3429132,408985.606433963,2026-04-03 03:03:03,U,13,영업중,1092.85,16,13,2026-04-02 12:27:22,,2023-05-24,1092.85,,,101 102 105 109 111 114 301 302 303 304 305 306 307 308,"내과, 신경과, 정형외과, 마취통증의학과, 소아청소년과, 피부과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한방병원,시군구,PHMA220235530506021200001,5530000,"경기도 화성시 동탄구 동탄신리천로 411, 4,5층 (목동)",18484,01,영업/정상,40,,,031-375-5812
연세새로운병원,병원,,,,2026-04-03 03:03:03,U,13,영업중,3236.64,10,22,2026-04-02 10:12:02,,2001-05-14,3236.64,,,101 105 106 109 116 120 122,"내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과",병원,시군구,PHMA220014110016021200001,5700000,경기도 여주시 영릉로 22 (창동),12626,01,영업/정상,84,,,031-885-7582
